instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon_100_4b4ba391,258,241,68,7
simple-polygon_100_4ee8f447,178,174,72,13
simple-polygon_100_6101abad,211,203,74,17
simple-polygon_100_cb23308c,328,314,144,35
simple-polygon_10_272aa6ea,213,209,33,1
simple-polygon_10_297edd18,220,214,59,3
simple-polygon_10_f2c8d74a,217,203,64,1
simple-polygon_150_743d6b9c,298,283,127,32
simple-polygon_150_b42a5724,338,332,177,56
simple-polygon_150_c0cf1e9c,174,169,84,38
simple-polygon_150_f24b0f8e,369,354,142,14
simple-polygon_20_0dda68ed,183,176,38,0
simple-polygon_20_35585ee3,319,301,86,3
simple-polygon_20_4bd3c2e5,329,320,73,2
simple-polygon_250_432b4814,181,176,132,50
simple-polygon_250_6e9d9c26,285,276,132,29
simple-polygon_250_c02755d7,298,290,157,48
simple-polygon_40_12969fc3,337,331,99,5
simple-polygon_60_0347cd75,254,241,79,14
simple-polygon_60_17af118a,221,208,67,6
simple-polygon_80_48c9df87,189,181,56,4
simple-polygon_80_7b8f6c4c,344,325,115,11
